IEMG,MAV,MAV1,MAV2,SSI,VAR,TM3,TM4,TM5,LOG,RMS,WL,AAC,DASDV,AFB,ZC,MYOP,WAMP,SSC,File
3019.4199663082663,6.038839932616533,4.455800737112089,3.051195323388501,28696.21379480466,57.50744247455843,0.4346671523131736,9389.63159932671,2523.370104506161,419.4062130999915,7.575779008762685,1002.132608064284,2.0042652161285677,6.7931865916483485,0.1762755190602998,47,1.0,256,98,000-1
28939.511276412773,57.879022552825546,41.82009016096139,24.881512632517477,3101995.7051519775,6216.4242588215975,420035.6215501469,211541625.09886065,40754089382.744125,1.3694308669930154e+25,78.76542014300409,35690.07599598535,71.3801519919707,9959.058038814388,0.1082833914938353,197,1.0,188,109,010-1
37317.85058957392,74.63570117914784,54.39608229426938,31.193901898691543,4857636.561014196,9734.742607242875,787089.3134689978,433564999.9131308,96729290464.01093,2.5934219070757705e+32,98.56608504971877,40539.563868659236,81.07912773731847,12614.794973512997,0.0149382767232296,168,1.0,197,101,010-2
48249.81894999213,96.49963789998426,65.13133173642125,37.369689815410695,9057620.15349757,18151.543393782704,2031853.8339989465,1769840522.5133631,446817069893.4194,8.11447161921765e+41,134.5928687078002,54259.819300548676,108.51963860109736,19522.989176214574,0.1203395147601664,194,0.998,237,120,010-3
52208.33700142715,104.41667400285432,77.62403215762397,52.43843270843136,9162859.686662544,18362.444261848785,289614.2588487371,1226352906.4647524,99825179309.16438,2.226308467659495e+45,135.37252074673458,56296.53045534491,112.5930609106898,24019.733037564012,-0.0798096471317673,174,1.0,198,115,020-1
62166.88640898008,124.33377281796017,91.22335949313776,54.598838932436585,13461580.06161346,26977.11435193078,286277.6395559311,3052676264.9795938,274886013263.81586,9.941947124640688e+53,164.08278435968512,68019.66324290917,136.03932648581835,31368.528143671498,0.1179650897566693,186,1.0,225,144,020-2
78688.12642191438,157.37625284382875,108.44771743424616,52.79655470617099,26569912.188472725,53246.31701096738,24453477.171405505,29039622503.277267,28854949627460.4,2.2265794305887e+68,230.52076777797143,65503.227203205664,131.00645440641134,28617.066791095163,-0.0579721049044169,170,1.0,236,104,020-3
79701.07215315322,159.40214430630644,120.26642856851136,76.89992352339338,20776913.831876233,41637.10186748744,3256741.6460765037,6394990530.309806,1657702284588.161,1.6883857411693743e+69,203.8475598670547,87879.0493347999,175.7580986695998,53845.38117955099,0.1996362821390723,196,1.0,214,115,050-1
87522.89916660752,175.04579833321503,125.20542514611384,78.22749375744156,27189805.28969105,54488.58775489187,13453787.000700977,14462823106.520384,8860131818472.277,1.0505683103160394e+76,233.19436223755943,90069.04859147526,180.13809718295053,61246.3288522227,0.0972405863687059,166,1.0,213,125,050-2
71860.61054439333,143.72122108878668,100.92026475132847,53.25337687836719,17471658.819159225,35013.344326972394,3977815.137179053,4960543167.131159,1647681066828.4304,2.6141665378959614e+62,186.93131797084845,72538.24642298657,145.07649284597315,35398.74980039283,0.2202799355321421,176,1.0,209,118,050-3
112560.85408986176,225.12170817972353,165.88501358734086,103.74051892658863,44050448.13088723,88277.45116410266,15158829.33813804,31922627973.113804,17261280652768.396,5.876457764044498e+97,296.81795138059704,137320.9503323993,274.64190066479864,128159.11201460758,0.195017288099182,206,1.0,217,133,080-1
77123.6352249972,154.2472704499944,117.11157830215149,78.08654561108912,20753042.484399773,41589.26349579113,4117537.21969505,6337170921.0162115,1557215286933.376,9.744025348267123e+66,203.73042229573753,87679.1203680774,175.3582407361548,55251.816070565794,0.0504362397423244,184,1.0,202,115,080-2
112462.31021902364,224.92462043804727,162.44188557595794,96.97510664434542,40554764.1457685,81272.07243640981,4007910.425359333,24190497969.74774,5175801427135.154,4.825268677155036e+97,284.79734600507953,114073.79256926868,228.14758513853735,88137.3888803756,-0.0833328064348798,168,1.0,228,127,080-3
142310.00300834668,284.62000601669337,211.99309778310763,131.29116341034145,65908962.166651346,132082.08851032332,29159787.01862299,65306600876.74451,37286633480216.44,4.063479305518171e+123,363.0673826348254,162449.26481208895,324.8985296241779,183768.39612745037,0.0004665336879146,187,1.0,238,133,100-1
126143.2272221143,252.2864544442286,184.7756126258434,113.31820105111863,51866500.26026285,103940.88228509588,7333963.446224643,33581778972.815517,8628722126579.816,3.686506670470275e+109,322.07607877724433,137684.012940182,275.36802588036403,117063.41444328244,0.0029648820647761,175,1.0,233,103,100-2
129634.16552180644,259.2683310436129,191.1169085946845,120.30022504687004,56446180.97632245,113118.5991509468,17229602.751878075,45378248888.517715,17171780019319.092,3.970137100682041e+112,335.9945861954399,148949.93975152355,297.8998795030471,147079.18865576253,0.1541674505591917,186,1.0,230,135,100-3
