MNF,MDF,PeakFrequency,MNP,TTP,SM1,SM2,SM3,FR,PSR,VCF,File
53.39334826324155,53.7109375,59.5703125,378.8999944090501,48878.09927876745,2609765.377236526,1591718280.3682005,1374687607058.488,inf,0.5686886758450593,29714.211275129706,050-3
55.07198483696864,55.6640625,59.5703125,299.23496597415885,38601.3106106665,2125850.792637742,1232812873.532305,1456067312016.5884,inf,0.559466297838,28904.14945150063,050-2
53.59371041527789,50.78125,51.7578125,222.77545535242746,28738.033740463135,1540177.8581908667,527132862.65204686,242957072735.98907,inf,0.59999182753135,15470.404849102862,050-1
54.12603285154591,54.6875,46.875,332.00748495615966,42828.96555934463,2318161.9968628157,1243942960.680611,852697765971.465,inf,0.5910974387939576,26114.80416760091,050-5
55.14636517850242,53.7109375,55.6640625,361.7544274433104,46666.32114018704,2573477.987134022,1433064531.5719993,1109608367921.9473,inf,0.5994509705051776,27667.63145601355,050-4
40.763275549513295,42.96875,1.953125,64.92793231482715,8375.703268612706,341421.1002594189,37793774.59277857,8295957615.002416,inf,0.3901465604364579,2850.665960667513,010-4
52.54172579528497,51.7578125,48.828125,68.48161106021102,8834.127826767217,464160.3219144998,51332327.58527625,7700165375.969308,inf,0.6058158425401141,3050.0513185412615,010-5
51.56044498761295,53.7109375,37.109375,69.4055629481924,8953.317620316824,461637.0406189713,49035086.44057279,6971391785.900724,inf,0.4874726133773138,2818.270977702786,010-2
54.223297614491,54.6875,55.6640625,75.5925418225611,9751.43789511038,528755.1191557959,62665156.705741316,9540669972.536314,inf,0.5829689439838303,3486.0818353380027,010-3
52.00496259431068,52.734375,43.9453125,79.84064744217274,10299.443520040282,535622.1750019104,59909193.00996977,8314647491.335629,inf,0.5423595961384629,3112.2246334903652,010-1
52.75835736925971,50.78125,35.15625,1024.6896468208058,132184.96443988394,6973861.592762284,10553726123.504103,21194771906015.617,inf,0.5323971521419013,77057.15006627525,080-1
55.8775606670263,55.6640625,55.6640625,793.2876821187604,102334.11099332006,5718180.495335445,6270632132.140777,8347052111747.899,inf,0.5486322943721386,58153.7680529235,080-2
53.728325285127525,51.7578125,39.0625,1057.7237407938067,136446.3625624011,7331034.551725133,12920696771.270247,31394979268966.613,inf,0.5963527478316356,91807.59623745744,080-3
53.57863032323979,52.734375,53.7109375,972.0153697146437,125389.98269318907,6718223.528955813,10097314418.52907,20462011722973.24,inf,0.6009236702411662,77656.611752377,080-4
53.54828614245115,51.7578125,61.5234375,1166.7849977488208,150515.2647095979,8059834.463476327,13367923831.47049,28170443909611.656,inf,0.4826934976301922,85946.98706685103,080-5
58.23070235020475,55.6640625,50.78125,850.673147499327,109736.8360274132,6390053.035565523,7586516412.731348,11496205165566.955,inf,0.5408986356868396,65742.91183876566,100-3
53.35083647094436,52.734375,52.734375,95.27323170560491,12290.24689002304,655694.9520171516,93060209.5304647,17439653699.87721,inf,0.5876729534809157,4725.562951686567,020-3
53.084194766144535,54.6875,39.0625,61.42158466384408,7923.384421635883,420606.48184515466,36286816.99966789,3987269677.9197893,inf,0.5054200506604329,1761.7800493661766,020-2
54.436726933638,51.7578125,50.78125,1019.8596008236877,131561.88850625567,7161798.599488767,10780401050.180649,21440676013942.27,inf,0.5612761888595007,78978.31426289161,100-2
51.946687260163365,50.78125,43.9453125,103.2475265028608,13318.930918869037,691874.3390822101,102770567.69167913,19373187260.60671,inf,0.5340282820080229,5017.669074427345,020-1
55.796257792392865,52.734375,44.921875,1104.4914101352429,142479.39190744632,7949816.880971248,12853552778.423159,27737054474745.223,inf,0.5750145805067634,87100.1944926296,100-1
57.43601101524661,53.7109375,42.96875,1186.000513630192,152994.06625829483,8787368.874878792,14964804724.440193,32535254259468.723,inf,0.5308679809097236,94514.07928811514,100-5
55.330350307064485,52.734375,44.921875,130.98358767946277,16896.882810650703,934910.4450107197,195359591.61169863,53486838403.27375,inf,0.5251957217495213,8500.42406005127,020-5
53.561716900704106,52.734375,40.0390625,95.73087261289946,12349.282567064021,661448.7767838836,94596616.6649703,17520509014.038063,inf,0.5620137568092877,4791.232544662865,020-4
55.54247656669647,54.6875,23.4375,1228.0145844067247,158413.88138846753,8798699.294858392,15323092714.764557,32912135278477.402,inf,0.34330475069481864,93643.25294817513,100-4
35.41933687729336,37.109375,59.5703125,0.8587947339917102,110.78452068493063,3923.9142589290323,6762.737769312961,19038.03521075243,inf,0.4893238382309807,-1193.4853572309082,000-1
