MNF,MDF,PeakFrequency,MNP,TTP,SM1,SM2,SM3,FR,PSR,VCF,File
7.944186313498076,3.90625,0.9765625,0.6466694827472937,83.42036327440087,662.7069081915329,2098.985359552434,27986.522382468454,inf,4.3320822765629075,-37.948549563974595,000-1
50.469771910033536,45.8984375,30.2734375,66.1365481294835,8531.614708703366,430588.6483725461,51645023.03147671,9972880652.778088,inf,0.5542602703200947,3506.172416641035,010-1
49.0108141071242,45.8984375,30.2734375,99.03367416880955,12775.343967776433,626130.0083592612,108605747.09754609,27035465930.33273,inf,0.5393082385993302,6099.139549392505,010-2
43.80853039080546,59.5703125,59.5703125,138.06782080235757,17810.748883504137,780262.7337459953,1187860587.275361,3613045802619.172,inf,0.6563656257812123,64774.279348789445,010-3
49.42248375206624,44.921875,0.9765625,205.1070737253061,26458.812510564472,1307660.2314023396,476577019.9131725,263312461249.08853,inf,0.1487636398808066,15569.451698143452,020-1
51.190943420011834,42.96875,23.4375,227.5237150491756,29350.559241343635,1502482.8174693277,612655861.8726223,499054994124.0307,inf,0.4968056487487881,18253.22456613894,020-2
47.66635156177232,55.6640625,59.5703125,201.9154180438447,26047.08892765598,1241569.697986397,1498635932.382443,4439710874594.914,inf,0.597846396650264,55263.55895922834,020-3
49.347645156552666,46.875,44.921875,397.33560994942275,51256.29368347552,2529377.3927322016,2388850077.55762,4245676311273.293,inf,0.6680284145725358,44170.79536603257,050-1
41.924645393448074,40.0390625,22.4609375,516.257433370863,66597.20890484132,2792064.3675288544,2713954617.399205,4260673012226.167,inf,0.4921128960802831,38994.10127811067,050-2
49.26095211910424,50.78125,59.5703125,248.80893047200695,32096.352030888887,1581096.8605915315,1520052603.1139598,3151833275148.6943,inf,0.5073501183211583,44932.40431126822,050-3
54.8537693390861,53.7109375,37.109375,937.576694757242,120947.39362368429,6634420.43199723,12417850308.627638,33071532689796.285,inf,0.5454047322651062,99662.5638586056,080-1
46.019615472780515,40.0390625,35.15625,517.0710939174016,66702.1711153448,3069608.265927775,3019661293.492805,5050091886391.019,inf,0.6208294511595348,43153.00466704848,080-2
48.73895229851396,45.8984375,60.546875,744.4726389649311,96036.9704264761,4680741.320509814,8428427786.0188465,26601954494635.887,inf,0.5285522260101763,85386.83927305693,080-3
52.09620553216675,48.828125,44.921875,1204.1697568545617,155337.89863423834,8092515.094184165,18532424539.055508,66547111464202.8,inf,0.6301285072692757,116589.9330985599,100-1
48.51523791824369,45.8984375,43.9453125,948.184064021857,122315.7442588196,5934177.433863684,12033222827.368645,35468475011196.164,inf,0.6468551303147653,96024.63581844882,100-2
51.19948190943506,50.78125,33.203125,1184.0048348056196,152736.62368992495,7820036.001520502,22721711080.667877,104164309155628.23,inf,0.5022297950439483,146142.6130133142,100-3
