IEMG,MAV,MAV1,MAV2,SSI,VAR,TM3,TM4,TM5,LOG,RMS,WL,AAC,DASDV,AFB,ZC,MYOP,WAMP,SSC,File
189409.13994404383,151.52731195523506,108.6991385231454,68.72007471413316,51989741.358195856,41625.09316108555,6957218.043199539,10508743794.929539,5210184822052.671,6.419119190973832e+65,203.94066069951987,235976.00874731582,188.78080699785266,59776.60111715012,0.07708361835739169,525,1.0,593,344,050-3
164332.44361777624,131.465954894221,96.12080990094783,63.476228592638414,35664844.34050311,28554.719247800727,2030843.3681541127,2996267068.8729377,659833707177.4597,1.2443391596842832e+57,168.91381078053533,210599.30016551833,168.47944013241468,47123.312905040555,0.14261957042058293,555,1.0,608,361,050-2
136256.81894530045,109.00545515624036,79.71393157907143,54.27482392973276,24145819.22633909,19332.121077933618,98812.49802564271,1293613713.0910857,13418339655.62511,2.190118792527145e+47,138.98437099570322,172831.32320879804,138.26505856703844,31136.854886758723,-0.091058314066232,556,1.0,610,342,050-1
163375.79061188822,130.70063248951058,96.88086824504676,62.09925950557919,36158099.346881,28949.639188855883,56657.355327836325,3419705426.0871534,256420701352.57196,5.78846579689916e+56,170.0778629848835,206800.4763731041,165.44038109848327,46324.685464595095,0.028116894001304106,536,1.0,599,338,050-5
174934.59833623498,139.947678668988,106.0370921830033,68.15412512401534,39516595.27263071,31638.587087774784,1567771.6073006038,3399551942.7939825,557787033544.5588,6.0048837071753846e+60,177.8012267058486,218393.0429562752,174.71443436502017,51376.153331488444,-0.06145524855816318,542,1.0,623,330,050-4
74600.59212725339,59.68047370180271,43.022879359522854,27.605484784108953,7698355.870093882,6163.615588545942,422075.4931868243,192124991.7027035,41384464735.85302,8.296604850426418e+25,78.47728777216442,82869.68843226798,66.29575074581439,7410.459677756875,0.027369235891879097,480,1.0,607,344,010-4
77022.34591624717,61.617876732997736,45.85531290960208,30.69202127403675,7737030.061661427,6194.579713099621,172015.0023910692,136583075.41410002,12400723127.254435,5.758426815836759e+26,78.67416379809283,97614.77459848442,78.09181967878754,9844.719534515425,-0.003968791993773278,539,1.0,598,339,010-5
77158.41770908757,61.72673416727006,44.887231444338134,29.387149660615936,8148623.638121217,6524.118205061021,22451.77779372176,166918038.92603517,2016906894.4758031,6.420665350136585e+26,80.73969847910614,95651.85817160137,76.5214865372811,9991.95655475719,0.18706342778554721,526,1.0,620,312,010-2
80111.05884468586,64.08884707574869,48.760323275133395,33.182679400384416,8400784.86671793,6726.008700334612,203806.75091778484,170462648.30951896,17094238215.426107,6.814478670811901e+27,81.9794357956576,101638.50922974225,81.3108073837938,11028.024401834202,0.027511720641701994,532,1.0,618,344,010-3
81456.02176410303,65.16481741128243,48.34060618266894,32.629432457432195,9138906.348315142,7316.978661581378,67685.42548360882,196651010.2569769,201130008.2830838,1.998575761133544e+28,85.50511726588131,101465.249235052,81.1721993880416,10992.196463704113,0.07249869129046409,524,1.0,592,328,010-1
307071.0697928522,245.65685583428177,183.51045115534927,117.53598952398626,119933446.89840609,96023.57637982872,8266375.811989011,31165573558.496452,6374825338626.344,4.868743895934306e+106,309.75273609562333,362181.1150513649,289.74489204109193,135016.37014342917,0.10756244643866747,519,1.0,588,329,080-1
254473.67824102883,203.57894259282307,148.88902581843993,93.87682536237048,84100138.35441066,67333.97786582119,929381.8254424196,14556963254.689747,277857344676.5,2.5894730757239308e+88,259.384098748417,323802.6825938464,259.04214607507714,113313.38637466244,0.06475172278840213,518,1.0,613,347,080-2
