IEMG,MAV,MAV1,MAV2,SSI,VAR,TM3,TM4,TM5,LOG,RMS,WL,AAC,DASDV,AFB,ZC,MYOP,WAMP,SSC,File
39636.8915195396,79.2737830390792,57.91167201504263,35.358579062323074,5489040.245551499,11000.080652407813,346815.0028919939,504374843.3138679,49902918401.7862,3.134032018507775e+34,104.77565336325333,45906.23520356558,91.81247040713117,15200.097298935507,0.02286260746875405,195.0,1.0,279.0,120.5,10-mean
55074.309414334144,110.14861882866828,80.40892802213298,54.51703070410986,10432870.6469798,20907.556406773143,1284580.0871160268,1755414982.8254042,314060547686.3043,2.624212625225739e+52,143.40422582789847,65136.252047119466,130.2725040942389,29386.24872507427,-0.0327419915347362,198.0,1.0,274.5,125.0,20-mean
108142.01930471067,216.28403860942134,160.14981691896824,124.09210234316203,45974205.00497637,92132.67536067408,14235786.667483345,36104831428.72872,11346022422386.035,5.14798444551242e+127,293.20744026266254,91412.46281428759,182.8249256285752,89460.20932758089,0.0538918878866222,128.0,1.0,254.5,133.0,50-mean
147693.2633047266,295.3865266094532,219.30470814358205,144.5902007183485,69074139.32397145,138425.12890575442,17666897.49761603,61545193725.561676,20060864368193.88,4.738592135909201e+131,371.5873781255601,157976.41824945773,315.9528364989154,168236.0678780989,0.084486253592806,176.0,1.0,272.0,118.0,80-mean
160723.17790565826,321.44635581131655,242.8480210560718,170.90176967871136,81633040.97808099,163593.26849314827,33615172.3322883,87935501620.01773,49694445306088.92,9.244800263693567e+146,403.43067321759565,164094.86778321717,328.18973556643436,177385.91731240408,0.0315097652305364,170.5,1.0,264.5,114.5,100-mean
