IEMG,MAV,MAV1,MAV2,SSI,VAR,TM3,TM4,TM5,LOG,RMS,WL,AAC,DASDV,AFB,ZC,MYOP,WAMP,SSC,File,MNF,MDF,PeakFrequency,MNP,TTP,SM1,SM2,SM3,FR,PSR,VCF
34757.81605441491,69.5156321088298,47.85207440074051,27.819726681940725,5472913.325977861,10967.762176308339,853808.5287928716,1357064611.6728015,260447893732.2081,1.177438237035273e+55,95.62747790871383,37514.06416005335,75.0281283201067,11364.962033311473,0.06078983784925359,186.625,1.0,241.25,115.4375,10-mean-all,48.05278347835313,53.466796875,44.25048828125,78.88938772900451,10176.731017041584,493053.75823745783,1076959960.304099,7800001419817.093,inf,0.6430972829929851,62317.46861594846
40073.712157540336,80.14742431508067,56.598332809424555,32.87421702670407,7538692.814611473,15107.600830884716,2743251.583975714,3422547947.2129755,2749191101246.28,9.873344528243453e+74,108.70450371567058,42038.517421141376,84.07703484228273,16628.790607623192,0.03983210855265228,183.75,0.999625,241.125,117.1875,20-mean-all,49.72804783216796,53.16162109375,47.30224609375,133.17320861754325,17179.34391166308,810537.2361111642,583762458.3954308,846117740762.4165,inf,0.6242544342875694,28264.111196246733
58236.32100185575,116.47264200371148,84.31313048244247,55.513166307227635,17810811.71921213,35693.009457338936,5201892.5958749065,13961657503.79699,7132052298646.357,6.442977755186295e+126,154.78849657793916,61287.99039220009,122.57598078440017,42149.67260653839,0.058780507965565214,184.0,1.0,243.375,128.6875,50-mean-all,46.04616706110048,47.42431640625,42.41943359375,376.1124486295942,48518.505873217655,2036969.0283501484,4814059871.22896,31098598972943.14,inf,2.8540955442163556,37816.269815043925
89151.99166051543,178.3039833210309,129.97804663325698,78.66336213725883,39584075.95319162,79326.80551741808,8867464.947252668,53759672646.34322,25007500522631.227,6.509725344115358e+191,230.7938502358899,96111.11837355976,192.22223674711952,92835.8161436943,0.06407455484602977,186.875,0.9998750000000001,244.625,124.375,80-mean-all,48.30223331336714,48.33984375,41.1376953125,765.6688886374029,98771.286634225,4602850.270903437,18231750754.969963,130144421971170.94,inf,0.5207264700211033,79031.18059546602
98515.48966323026,197.03097932646054,146.0942532423804,96.5110227884756,42192117.96133836,84553.34260789251,8872542.775217822,53353710781.05704,16114698181693.33,2.1931615188024562e+209,251.898622982554,109504.40403300813,219.0088080660163,104784.84938129765,0.034734391254679996,190.625,0.99975,245.3125,130.0,100-mean-all,50.212162212488835,49.560546875,36.62109375,975.137442633882,125792.7300997708,5897750.450328995,36720848358.06331,515193493588435.25,inf,0.5156816343696534,109736.49063860484
