IEMG,MAV,MAV1,MAV2,SSI,VAR,TM3,TM4,TM5,LOG,RMS,WL,AAC,DASDV,AFB,ZC,MYOP,WAMP,SSC,File
21107.65897430996,42.21531794861992,28.997675419881304,17.220448154519637,1762544.8819947664,3532.1540721338,307854.99329007615,99917804.39651033,23151656628.192226,1.493398377358594e+22,57.219906384531484,23937.336001247117,47.874672002494236,3978.100877445105,0.08243034219018945,208.0,1.0,254.5,152.5,10-mean
35800.005452414436,71.60001090482888,50.712046569029766,29.795506030865262,4446687.737101994,8911.197869943875,820681.0850240164,376081331.38571286,91347902157.48529,2.5671291201092147e+35,92.96377845202409,31572.14435623426,63.14428871246852,6779.989956789767,0.070942837483102,153.5,1.0,265.5,125.0,20-mean
71368.31556476845,142.73663112953687,106.74528077919913,66.22814310337634,16946252.191373587,33960.425233213595,1651802.2074607396,4011858857.2123146,309777698284.37836,1.0008956031078487e+62,184.08243453360194,84237.51990978116,168.4750398195623,47580.27947699564,0.09416719462992004,192.0,1.0,279.5,139.5,50-mean
155335.75618730165,310.6715123746033,221.76675417305188,125.21604679660265,79597272.46449555,159513.57207313736,5147725.245215995,93756238174.79767,4904143609730.424,5.76503293792792e+152,395.6115057360445,176042.22525375843,352.0844505075169,210187.90533403546,0.12020296828421025,185.5,1.0,273.0,126.5,80-mean
187029.14819628472,374.05829639256945,282.2617452214932,187.0337986865149,111497594.35109153,223442.07284787882,5320230.601912059,156570164980.3562,8133674474301.203,4.352786177540707e+174,470.48692740669856,222785.45616094524,445.5709123218905,331864.7366869261,0.1940215797585915,200.0,1.0,268.5,128.0,100-mean
